,activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
0,tanh,10,5,0.001,8,rmsprop,0.7811890840530396,0.007948119739019415
1,tanh,10,5,0.001,8,adam,0.7875243624051412,0.015115086591019764
2,tanh,10,5,0.001,8,sgd,0.6145224372545878,0.09434325839778214
3,tanh,10,5,0.001,32,rmsprop,0.807992180188497,0.0076744700922366585
4,tanh,10,5,0.001,32,adam,0.8118908405303955,0.00993961802942948
5,tanh,10,5,0.001,32,sgd,0.5258284608523051,0.10500111134694126
6,tanh,10,5,0.001,64,rmsprop,0.8157894810040792,0.007261033344744523
7,tanh,10,5,0.001,64,adam,0.8118908405303955,0.007766772134775827
8,tanh,10,5,0.001,64,sgd,0.693469782670339,0.030813707689686432
9,tanh,10,5,0.01,8,rmsprop,0.8201754291852316,0.012576501764839288
10,tanh,10,5,0.01,8,adam,0.8162768085797628,0.008384323731605194
11,tanh,10,5,0.01,8,sgd,0.7417153914769491,0.026297755960091082
12,tanh,10,5,0.01,32,rmsprop,0.8114035129547119,0.0035811116940370675
13,tanh,10,5,0.01,32,adam,0.808966875076294,0.016118735129263474
14,tanh,10,5,0.01,32,sgd,0.7792397538820902,0.008607948219601261
15,tanh,10,5,0.01,64,rmsprop,0.8050682147343954,0.005641251995986249
16,tanh,10,5,0.01,64,adam,0.8123781681060791,0.0006891852668501392
17,tanh,10,5,0.01,64,sgd,0.7763157685597738,0.008607948219601261
18,tanh,10,5,0.1,8,rmsprop,0.8045808871587118,0.009272066629491777
19,tanh,10,5,0.1,8,adam,0.8192007740338644,0.007195328303329554
20,tanh,10,5,0.1,8,sgd,0.8026315768559774,0.006646283875270943
21,tanh,10,5,0.1,32,rmsprop,0.800682266553243,0.015209049207565545
22,tanh,10,5,0.1,32,adam,0.7982456286748251,0.013452415878011664
23,tanh,10,5,0.1,32,sgd,0.8128654758135477,0.007261045345913635
24,tanh,10,5,0.1,64,rmsprop,0.7314814726511637,0.08415715417428843
25,tanh,10,5,0.1,64,adam,0.7880116899808248,0.023054325908741007
26,tanh,10,5,0.1,64,sgd,0.8167641361554464,0.00776674720193665
27,tanh,10,5,0.2,8,rmsprop,0.711013654867808,0.0649045213041471
28,tanh,10,5,0.2,8,adam,0.8153021534283956,0.013148872825490715
29,tanh,10,5,0.2,8,sgd,0.8128654956817627,0.004303960612004785
30,tanh,10,5,0.2,32,rmsprop,0.7753411332766215,0.016118759156859168
31,tanh,10,5,0.2,32,adam,0.803118904431661,0.002484912300392609
32,tanh,10,5,0.2,32,sgd,0.8099415103594462,0.004774839925564425
33,tanh,10,5,0.2,64,rmsprop,0.6968810757001241,0.03185957039177885
34,tanh,10,5,0.2,64,adam,0.7037037213643392,0.05372129893637857
35,tanh,10,5,0.2,64,sgd,0.8118908405303955,0.008125420935437734
36,tanh,10,5,0.3,8,rmsprop,0.800682266553243,0.011716177634351375
37,tanh,10,5,0.3,8,adam,0.8104288578033447,0.006891852668501392
38,tanh,10,5,0.3,8,sgd,0.814814825852712,0.009272066629491777
39,tanh,10,5,0.3,32,rmsprop,0.6115984519322714,0.23679497959492282
40,tanh,10,5,0.3,32,adam,0.7880116899808248,0.021913591372663382
41,tanh,10,5,0.3,32,sgd,0.8104288379351298,0.0076744700922366585
42,tanh,10,5,0.3,64,rmsprop,0.7124756375948588,0.0893714781162655
43,tanh,10,5,0.3,64,adam,0.7860623995463053,0.01383535366332386
44,tanh,10,5,0.3,64,sgd,0.8094541827837626,0.006994494227205399
45,tanh,10,10,0.001,8,rmsprop,0.8075048724810282,0.011470355019840568
46,tanh,10,10,0.001,8,adam,0.8104288379351298,0.009117090666699395
47,tanh,10,10,0.001,8,sgd,0.5121832390626272,0.1362937720184412
48,tanh,10,10,0.001,32,rmsprop,0.8162768085797628,0.0060082004245275026
49,tanh,10,10,0.001,32,adam,0.8192007740338644,0.010152357732827076
50,tanh,10,10,0.001,32,sgd,0.6208576957384745,0.08213490889268549
51,tanh,10,10,0.001,64,rmsprop,0.8187134464581808,0.010199036207605027
52,tanh,10,10,0.001,64,adam,0.8211501042048136,0.009038607890230959
53,tanh,10,10,0.001,64,sgd,0.6885964870452881,0.023239017271447254
54,tanh,10,10,0.01,8,rmsprop,0.8099415302276611,0.0023874077960247117
55,tanh,10,10,0.01,8,adam,0.8216374317804972,0.007261045345913635
56,tanh,10,10,0.01,8,sgd,0.792397677898407,0.003158243653189103
57,tanh,10,10,0.01,32,rmsprop,0.8201754490534464,0.007827665903204698
58,tanh,10,10,0.01,32,adam,0.8177387913068136,0.008468876638991856
59,tanh,10,10,0.01,32,sgd,0.7919103304545084,0.007195328303329554
60,tanh,10,10,0.01,64,rmsprop,0.8001949191093445,0.010765466581271173
61,tanh,10,10,0.01,64,adam,0.8153021534283956,0.0061256331895375785
62,tanh,10,10,0.01,64,sgd,0.7928849856058756,0.005641251995986248
63,tanh,10,10,0.1,8,rmsprop,0.8196881214777628,0.009038607890230959
64,tanh,10,10,0.1,8,adam,0.8075048724810282,0.007293672533379
65,tanh,10,10,0.1,8,sgd,0.8133528232574463,0.010152378714338293
