activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
tanh,10,5,0.001,8,rmsprop,0.39134423931439716,0.011242358766374924
tanh,10,5,0.001,8,adam,0.42455028494199115,0.01834811776818458
tanh,10,5,0.001,8,sgd,0.25250965853532154,0.008494839759283444
tanh,10,5,0.001,16,rmsprop,0.4627649982770284,0.01650009293279755
tanh,10,5,0.001,16,adam,0.4657815893491109,0.021913822301939195
tanh,10,5,0.001,16,sgd,0.31742940346399945,0.03563684416642811
tanh,10,5,0.001,32,rmsprop,0.47886184851328534,0.025400586139876575
tanh,10,5,0.001,32,adam,0.4718276858329773,0.010892794321388547
tanh,10,5,0.001,32,sgd,0.21931803226470947,0.0032457361518075352
tanh,10,5,0.01,8,rmsprop,0.5241464078426361,0.03024888075497735
tanh,10,5,0.01,8,adam,0.5181025962034861,0.04092278221230127
tanh,10,5,0.01,8,sgd,0.2555361141761144,0.017122726073741795
tanh,10,5,0.01,16,rmsprop,0.5256592531998953,0.022235788100850456
tanh,10,5,0.01,16,adam,0.5130681097507477,0.03076792460000784
tanh,10,5,0.01,16,sgd,0.3395070234934489,0.06138902421976242
tanh,10,5,0.01,32,rmsprop,0.5065245628356934,0.036553946919731274
tanh,10,5,0.01,32,adam,0.5080495774745941,0.036988655234027876
tanh,10,5,0.01,32,sgd,0.3334852357705434,0.03946023267051223
tanh,10,5,0.1,8,rmsprop,0.4980185627937317,0.04478496603164855
tanh,10,5,0.1,8,adam,0.5236527621746063,0.030058479062909222
tanh,10,5,0.1,8,sgd,0.43963780005772907,0.017857064829075887
tanh,10,5,0.1,16,rmsprop,0.5045172969500223,0.02213127489770168
tanh,10,5,0.1,16,adam,0.5000060896078745,0.014485234412656223
tanh,10,5,0.1,16,sgd,0.4713218907515208,0.022049926439978648
tanh,10,5,0.1,32,rmsprop,0.4904383619626363,0.0667772162197933
tanh,10,5,0.1,32,adam,0.5166148046652476,0.041088946833744665
tanh,10,5,0.1,32,sgd,0.4602504074573517,0.02113383921505479
tanh,10,5,0.2,8,rmsprop,0.427092969417572,0.0575080162935008
tanh,10,5,0.2,8,adam,0.48188679416974384,0.03446961832200831
tanh,10,5,0.2,8,sgd,0.4823796848456065,0.026513126431494435
tanh,10,5,0.2,16,rmsprop,0.47587032119433087,0.05995826223611088
tanh,10,5,0.2,16,adam,0.4688315987586975,0.04096963975108631
tanh,10,5,0.2,16,sgd,0.47986358404159546,0.035429348818520896
tanh,10,5,0.2,32,rmsprop,0.45824695626894635,0.03283193007584906
tanh,10,5,0.2,32,adam,0.4803747038046519,0.030851885083581103
tanh,10,5,0.2,32,sgd,0.5045233766237894,0.02160482666067665
tanh,10,5,0.3,8,rmsprop,0.476363201936086,0.02386391009540046
tanh,10,5,0.3,8,adam,0.48039670785268146,0.028269229358598852
tanh,10,5,0.3,8,sgd,0.519114206234614,0.020332050703768523
tanh,10,5,0.3,16,rmsprop,0.3485947648684184,0.006684532418351024
tanh,10,5,0.3,16,adam,0.44868529836336773,0.0264514484444208
tanh,10,5,0.3,16,sgd,0.5160968403021494,0.023401739666378804
tanh,10,5,0.3,32,rmsprop,0.35161516070365906,0.039554199851698654
tanh,10,5,0.3,32,adam,0.4275532066822052,0.023033011319782904
tanh,10,5,0.3,32,sgd,0.505029171705246,0.019141280660967323
tanh,10,10,0.001,8,rmsprop,0.47986965378125507,0.0297375795329448
tanh,10,10,0.001,8,adam,0.4662805696328481,0.04264550739600542
tanh,10,10,0.001,8,sgd,0.28671667476495105,0.06240321623635852
tanh,10,10,0.001,16,rmsprop,0.4899219175179799,0.028661375263653855
tanh,10,10,0.001,16,adam,0.48992420236269635,0.029322383703462067
tanh,10,10,0.001,16,sgd,0.25154057641824085,0.08510274637683796
tanh,10,10,0.001,32,rmsprop,0.5090543329715729,0.021551580718787225
