activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
tanh,10,5,0.001,8,rmsprop,0.5110273857911428,0.00946427180836533
tanh,10,5,0.001,8,adam,0.5001975993315378,0.009265563992525008
tanh,10,5,0.001,8,sgd,0.41237953305244446,0.006675382251190488
tanh,10,5,0.001,16,rmsprop,0.5342364311218262,0.004809914117116278
tanh,10,5,0.001,16,adam,0.5419753193855286,0.0075682986286466905
tanh,10,5,0.001,16,sgd,0.4011549651622772,0.026648217785198113
tanh,10,5,0.001,32,rmsprop,0.5477780302365621,0.005512788378163836
tanh,10,5,0.001,32,adam,0.5524229009946188,0.010688340933124131
tanh,10,5,0.001,32,sgd,0.43557465076446533,0.038204324159326064
tanh,10,5,0.01,8,rmsprop,0.5760177373886108,0.010339862597025561
tanh,10,5,0.01,8,adam,0.5640215873718262,0.010835763783223151
tanh,10,5,0.01,8,sgd,0.47619272271792096,0.03389660872000047
tanh,10,5,0.01,16,rmsprop,0.5427451133728027,0.011225723662908721
tanh,10,5,0.01,16,adam,0.5686686833699545,0.0108475998446329
tanh,10,5,0.01,16,sgd,0.4897423982620239,0.012183385322704373
tanh,10,5,0.01,32,rmsprop,0.5535695354143778,0.016797421493769484
tanh,10,5,0.01,32,adam,0.5752385258674622,0.009285336957126158
tanh,10,5,0.01,32,sgd,0.5145045320192972,0.0045135850358022245
tanh,10,5,0.1,8,rmsprop,0.529216984907786,0.038723660033979514
tanh,10,5,0.1,8,adam,0.5454452633857727,0.018757163684029226
tanh,10,5,0.1,8,sgd,0.567507247130076,0.0046382894109876956
tanh,10,5,0.1,16,rmsprop,0.5110193093617758,0.03754118841155394
tanh,10,5,0.1,16,adam,0.5303510427474976,0.030532410273342848
tanh,10,5,0.1,16,sgd,0.5582260489463806,0.011638765914154378
tanh,10,5,0.1,32,rmsprop,0.41278644899527234,0.13415181112067615
tanh,10,5,0.1,32,adam,0.5419829487800598,0.020240255195688246
tanh,10,5,0.1,32,sgd,0.5744677980740865,0.0061776865686417005
tanh,10,5,0.2,8,rmsprop,0.4170526961485545,0.11198402801299069
tanh,10,5,0.2,8,adam,0.502514660358429,0.010422963259790457
tanh,10,5,0.2,8,sgd,0.5559013883272806,0.0037109388812743443
tanh,10,5,0.2,16,rmsprop,0.44563912351926166,0.03435656938748473
tanh,10,5,0.2,16,adam,0.4533609449863434,0.05522642608953987
tanh,10,5,0.2,16,sgd,0.5694407224655151,0.008167779531751341
tanh,10,5,0.2,32,rmsprop,0.4704299867153168,0.056456080707043464
tanh,10,5,0.2,32,adam,0.4530281325181325,0.09749295962616789
tanh,10,5,0.2,32,sgd,0.5458513100941976,0.019431080934939587
tanh,10,5,0.3,8,rmsprop,0.47582892576853436,0.01603239348250607
tanh,10,5,0.3,8,adam,0.5276665985584259,0.021365927400799855
tanh,10,5,0.3,8,sgd,0.5671232342720032,0.010717608043371763
tanh,10,5,0.3,16,rmsprop,0.36823761463165283,0.07499371404551303
tanh,10,5,0.3,16,adam,0.4340628882249196,0.0986782758368605
tanh,10,5,0.3,16,sgd,0.5473881959915161,0.01661063292022936
tanh,10,5,0.3,32,rmsprop,0.3911120593547821,0.050919044192051253
tanh,10,5,0.3,32,adam,0.3899030188719432,0.07218641320118577
tanh,10,5,0.3,32,sgd,0.5547430912653605,0.015741871522942184
tanh,10,10,0.001,8,rmsprop,0.548550546169281,0.0048039564992304285
tanh,10,10,0.001,8,adam,0.5520339409510294,0.005521790083668916
tanh,10,10,0.001,8,sgd,0.4085026780764262,0.032772261931149294
tanh,10,10,0.001,16,rmsprop,0.5531936089197794,0.004528660194828676
tanh,10,10,0.001,16,adam,0.5597719550132751,0.007659194267831606
tanh,10,10,0.001,16,sgd,0.40117069085439044,0.02062094363205479
tanh,10,10,0.001,32,rmsprop,0.5682811141014099,0.006028738627609865
tanh,10,10,0.001,32,adam,0.5609306891759237,0.004138089978395605
tanh,10,10,0.001,32,sgd,0.40116260449091595,0.029135802744867254
tanh,10,10,0.01,8,rmsprop,0.5674987037976583,0.01350824106530566
tanh,10,10,0.01,8,adam,0.570214589436849,0.011388291054273105
tanh,10,10,0.01,8,sgd,0.5013612906138102,0.033144496329979546
tanh,10,10,0.01,16,rmsprop,0.5717636148134867,0.017303273918835498
tanh,10,10,0.01,16,adam,0.5760168631871542,0.004541757278499709
tanh,10,10,0.01,16,sgd,0.5230154792467753,0.00836583915184227
tanh,10,10,0.01,32,rmsprop,0.5655697186787924,0.002861276789724857
tanh,10,10,0.01,32,adam,0.5779539346694946,0.009300809705039763
tanh,10,10,0.01,32,sgd,0.5241782466570536,0.003362295437586987
tanh,10,10,0.1,8,rmsprop,0.5238000949223837,0.017237980825686994
tanh,10,10,0.1,8,adam,0.552029013633728,0.007511118239112432
tanh,10,10,0.1,8,sgd,0.5682815512021383,0.009756398933614794
tanh,10,10,0.1,16,rmsprop,0.5121731062730154,0.03841546885371624
tanh,10,10,0.1,16,adam,0.5473796725273132,0.019170198595086074
tanh,10,10,0.1,16,sgd,0.5617063442866007,0.00879746474218343
tanh,10,10,0.1,32,rmsprop,0.4700513780117035,0.06446856389062937
tanh,10,10,0.1,32,adam,0.5330786009629568,0.036452754000369965
tanh,10,10,0.1,32,sgd,0.5617013971010844,0.002317247284995199
tanh,10,10,0.2,8,rmsprop,0.395021711786588,0.12155611187884519
tanh,10,10,0.2,8,adam,0.5392675399780273,0.00546958368708578
tanh,10,10,0.2,8,sgd,0.5787273248036703,0.007539482290807926
tanh,10,10,0.2,16,rmsprop,0.42712749044100445,0.1262535314789449
tanh,10,10,0.2,16,adam,0.46922677755355835,0.034499751145838996
tanh,10,10,0.2,16,sgd,0.5620880921681722,0.01007484451477327
tanh,10,10,0.2,32,rmsprop,0.4081227282683055,0.05402684806375807
tanh,10,10,0.2,32,adam,0.43284576137860614,0.0680779001005143
tanh,10,10,0.2,32,sgd,0.5531994303067526,0.017346872227770864
tanh,10,10,0.3,8,rmsprop,0.35976260900497437,0.09144341076103422
tanh,10,10,0.3,8,adam,0.4638350009918213,0.06792782661791254
tanh,10,10,0.3,8,sgd,0.5605381528536478,0.017276885594031934
tanh,10,10,0.3,16,rmsprop,0.35625269015630084,0.08081229544162502
tanh,10,10,0.3,16,adam,0.5145072042942047,0.021801625050447873
tanh,10,10,0.3,16,sgd,0.5744691689809164,0.011533657030003499
tanh,10,10,0.3,32,rmsprop,0.47002442677815753,0.018180359376395616
tanh,10,10,0.3,32,adam,0.5346164107322693,0.014515086033976762
tanh,10,10,0.3,32,sgd,0.5698301196098328,0.011843500887219839
tanh,10,20,0.001,8,rmsprop,0.5651879707972208,0.008053841325666673
tanh,10,20,0.001,8,adam,0.5702163974444071,0.007861775191287605
tanh,10,20,0.001,8,sgd,0.40271209677060443,0.019104068348287997
tanh,10,20,0.001,16,rmsprop,0.5725356737772623,0.007843054349627595
tanh,10,20,0.001,16,adam,0.5682779550552368,0.012830977384103636
tanh,10,20,0.001,16,sgd,0.41237862904866535,0.009511885796271019
tanh,10,20,0.001,32,rmsprop,0.5709884564081827,0.008387768187260959
tanh,10,20,0.001,32,adam,0.5678894718488058,0.007778717653712145
tanh,10,20,0.001,32,sgd,0.4313250283400218,0.017861437733749434
tanh,10,20,0.01,8,rmsprop,0.5682833393414816,0.011923064596120322
tanh,10,20,0.01,8,adam,0.5694389343261719,0.009475059657769019
tanh,10,20,0.01,8,sgd,0.5450684626897176,0.005851483557026066
tanh,10,20,0.01,16,rmsprop,0.5682851274808248,0.012524618687021207
tanh,10,20,0.01,16,adam,0.5609298149744669,0.0024961611520072026
tanh,10,20,0.01,16,sgd,0.551640510559082,0.00898162588015873
tanh,10,20,0.01,32,rmsprop,0.5644073883692423,0.009420184998802735
tanh,10,20,0.01,32,adam,0.5671138167381287,0.009235137708341832
tanh,10,20,0.01,32,sgd,0.5535762707392374,0.00447894746700146
tanh,10,20,0.1,8,rmsprop,0.5249574979146322,0.013100028759353788
tanh,10,20,0.1,8,adam,0.5377122362454733,0.02347030571122441
tanh,10,20,0.1,8,sgd,0.5702159206072489,0.008799440525306625
tanh,10,20,0.1,16,rmsprop,0.48392488559087116,0.03855588595475592
tanh,10,20,0.1,16,adam,0.5593875050544739,0.012714392858777129
tanh,10,20,0.1,16,sgd,0.5702177286148071,0.01529288925777659
tanh,10,20,0.1,32,rmsprop,0.4595499038696289,0.04490292623985842
tanh,10,20,0.1,32,adam,0.5198980768521627,0.0448898908680861
tanh,10,20,0.1,32,sgd,0.5624739130338033,0.004526381364082058
tanh,10,20,0.2,8,rmsprop,0.5311356584231058,0.01159612486069116
tanh,10,20,0.2,8,adam,0.5307700932025909,0.044602039419621854
tanh,10,20,0.2,8,sgd,0.5566725134849548,0.0011642563846333991
tanh,10,20,0.2,16,rmsprop,0.5056252976258596,0.03649853266443786
tanh,10,20,0.2,16,adam,0.4901232620080312,0.03988272097435665
tanh,10,20,0.2,16,sgd,0.5671263933181763,0.016548991690270642
